concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Boston Symphony Tanglewood (K) presents","Friday, August 11, 2017","8:00 pm","Giancarlo Guerrero, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 12, 2017","2:30 pm","Lahav Shani, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Saturday, August 12, 2017","8:00 pm","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 12, 2017","8:00 pm","Christoph von Dohnányi, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Mercury Orchestra (K) presents","Saturday, August 12, 2017","8:00 pm","Mercury Orchestra","Kresge Auditorium","MIT, Cambridge",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Sunday, August 13, 2017","10:00 am","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Sevenars Music Festival presents","Sunday, August 13, 2017","4:00 pm","Rorianne Schrade, pianist","The Academy","South Worthington",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, August 13, 2017","4:00 pm","Harlem Quartet","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Sunday, August 13, 2017","8:00 pm","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Monday, August 14, 2017","8:00 pm","Festival of Contemporary Music","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Tuesday, August 15, 2017","7:30 pm","Borromeo String Quartet","Cotuit Center for the Arts","Cotuit",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
